,Unit,WIEGHT,BARCODE,Kolonial.cz,Kosik.cz,Rohlik.cz,iTescko.cz,Albert,D&M
Rohlik,1,,,https://www.kolonial.cz/pecivo-cerstve-bile/rohlik-jemny-43g,https://www.kosik.cz/produkt/360-penam-rohlik-jemny-43g,https://www.rohlik.cz/1286399-rohlik-jemny,https://nakup.itesco.cz/groceries/cs-CZ/products/2001000151875,,
Salat,1,,,https://www.kolonial.cz/salaty-pomazanky/boneco-vajecny-salat-140g,https://www.kosik.cz/produkt/29211-gastro-parizsky-salat-140g,https://www.rohlik.cz/714305-varmuza-parizsky-salat,https://nakup.itesco.cz/groceries/cs-CZ/products/2001019478482,,
Kofola,1,,,https://www.kolonial.cz/kolove-limonady/kofola-original-limonada-2l,https://www.kosik.cz/produkt/2854-kofola-original-limonada-2l,https://www.rohlik.cz/733945-kofola-original,https://nakup.itesco.cz/groceries/cs-CZ/products/2001009255932,,
,,,,,,,,,
Korbac Udeny 55 G,1,,,,,,,28.9,
AHB Mozarella 125 G,1,,,,,,,17.9,
Bryndza plnotucna 125 G,1,,,,,,,35.9,
AQ Gouda 48% Blocek 200 G,1,,,,,,,29.9,
Majoneza Hellmanns 225 ML,1,,,,,,,32.9,
*MLEKO JC Lahodne 1.5% 1 L,1,,,,,,,19.9,
Tuniak v Slun. Oleji 3x80/16,1,,,,,,,114.9,
Dressing Hellmanns Tisic.2,1,,,,,,,37.9,
Curaprox - bodova kefka,1,,,,,,,,129
Elmex zubna pasta 75 ML,1,,,,,,,,59.9
H&S Sensitive sculp 400 ML,1,,,,,,,,99
Profis rukavice 60 ks.,1,,,,,,,,99
Voslauer 1 L,1,,,,,,,,22.9